Client_ID,Company_Name,Industry,Contract_Type,Region,City,Onboarding_Date,Satisfaction_Score,Tenure_Years,Annual_Contract_Value,Account_Status
CLI-0288,Zenith Enterprises,EdTech,Annual License,South,Kochi,2020-04-19,3.4,4.9,50000,Active
CLI-0235,CoreLogic Group,Logistics,Multi-Year,North,Chandigarh,2020-01-30,3,5.2,50000,Active
CLI-0174,CloudNine Solutions,Insurance,Annual License,East,Guwahati,2024-02-29,2.8,1.1,100000,Active
CLI-0125,CloudNine Labs,EdTech,Annual License,West,Mumbai,2022-03-13,3.4,3,200000,Active
CLI-0248,CoreLogic Enterprises,Media,Managed Services,East,Guwahati,2023-12-24,2.8,1.3,750000,Active
CLI-0194,Apex Services,Manufacturing,Managed Services,South,Kochi,2020-08-28,4.5,4.6,150000,Active
CLI-0227,Vertex Services,Insurance,Project-Based,East,Bhubaneswar,2023-09-11,2.7,1.6,75000,Active
CLI-0129,Apex Digital,Insurance,Monthly SaaS,South,Bangalore,2022-04-10,3.8,3,500000,Active
CLI-0132,DigitalForge Infotech,Manufacturing,Monthly SaaS,East,Bhubaneswar,2024-04-12,3.2,1,200000,Churned
CLI-0263,InfraMax Technologies,Telecom,Managed Services,South,Chennai,2019-09-05,3.5,5.6,750000,Churned
CLI-0060,TechVista Enterprises,EdTech,Multi-Year,South,Kochi,2020-04-23,3.5,4.9,300000,Churned
CLI-0175,Pinnacle Enterprises,Insurance,Monthly SaaS,North,Jaipur,2019-04-02,2.8,6,300000,Active
CLI-0151,SwiftCode Enterprises,Manufacturing,Multi-Year,East,Bhubaneswar,2023-07-09,2.6,1.7,500000,At Risk
CLI-0258,DataWeave Group,Media,Managed Services,North,Lucknow,2022-09-17,3.7,2.5,500000,Active
CLI-0038,BrightPath Digital,Banking,Annual License,West,Pune,2023-11-11,2.6,1.4,500000,Active
CLI-0055,CloudNine Labs,EdTech,Monthly SaaS,North,Chandigarh,2020-11-06,3.7,4.4,500000,Churned
CLI-0260,NetDynamic Enterprises,Government,Project-Based,North,Unspecified,2021-07-04,5,3.7,50000,Active
CLI-0209,SwiftCode Infotech,Healthcare,Project-Based,North,Chandigarh,2019-09-06,,5.6,150000,Active
CLI-0134,GreenPulse Enterprises,Manufacturing,Multi-Year,East,Patna,2019-10-09,4.4,5.5,150000,Active
CLI-0003,DataWeave Technologies,Healthcare,Project-Based,North,Jaipur,2023-10-02,3.2,1.5,50000,Churned
CLI-0207,InfraMax Technologies,Media,Monthly SaaS,South,Kochi,2020-09-23,4.6,4.5,75000,Active
CLI-0233,GreenPulse Corp,Banking,Monthly SaaS,East,Patna,2020-07-28,4.6,4.7,75000,At Risk
CLI-0147,SilverEdge Infotech,Insurance,Monthly SaaS,South,Hyderabad,2020-01-22,4.3,5.2,75000,Active
CLI-0116,DigitalForge Solutions,EdTech,Managed Services,East,Guwahati,2023-07-04,2.8,1.7,75000,Active
CLI-0294,Unspecified,Telecom,Multi-Year,East,Guwahati,2022-05-06,3.1,2.9,500000,Active
CLI-0178,Pinnacle Services,Insurance,Managed Services,East,Guwahati,2022-06-05,2.8,2.8,300000,Churned
CLI-0179,OmniSoft Digital,Healthcare,Multi-Year,East,Kolkata,2020-05-03,3,4.9,100000,Active
CLI-0146,CloudNine Technologies,Retail,Managed Services,West,Pune,2023-01-30,4.6,2.2,50000,At Risk
CLI-0282,SwiftCode Enterprises,Media,Annual License,East,Kolkata,2020-05-28,4.3,4.8,750000,At Risk
CLI-0036,BrightPath Labs,Insurance,Annual License,East,Patna,2023-03-24,4.7,2,500000,Active
CLI-0008,InfraMax Digital,Healthcare,Project-Based,West,Surat,2021-12-19,3.9,3.3,50000,Active
CLI-0103,DigitalForge Systems,Insurance,Project-Based,North,Delhi,2019-02-08,4.6,6.1,1000000,At Risk
CLI-0208,DataWeave Systems,Healthcare,Multi-Year,East,Guwahati,2021-11-17,,3.4,200000,Active
CLI-0203,SilverEdge Enterprises,Unspecified,Managed Services,West,Pune,2023-02-09,4.4,2.1,150000,Active
CLI-0181,SwiftCode Group,Insurance,Project-Based,West,Surat,2022-12-25,3.7,2.3,75000,Active
CLI-0205,SilverEdge Group,Logistics,Monthly SaaS,West,Mumbai,2022-04-04,2.8,3,500000,Active
CLI-0142,BlueOrbit Infotech,Government,Annual License,West,Ahmedabad,2019-06-09,2.8,5.8,1000000,At Risk
CLI-0045,SwiftCode Infotech,Insurance,Project-Based,West,Mumbai,2019-07-10,3.5,5.7,150000,Active
CLI-0081,CloudNine Systems,Media,Annual License,East,Kolkata,2021-04-21,4.2,3.9,500000,At Risk
CLI-0001,Pinnacle Solutions,Unspecified,Multi-Year,South,Chennai,2023-02-17,4.4,2.1,1000000,Active
CLI-0123,CrestLine Corp,Government,Monthly SaaS,South,Chennai,2021-10-17,3.7,3.5,200000,Active
CLI-0185,BrightPath Services,Media,Annual License,South,Kochi,2024-02-25,,1.1,200000,At Risk
CLI-0019,NovaTech Labs,Government,Managed Services,East,Patna,2020-02-23,3.3,5.1,200000,Active
CLI-0087,Apex Enterprises,Logistics,Multi-Year,South,Unspecified,2021-12-26,3.8,3.3,300000,Active
CLI-0119,SwiftCode Services,Retail,Monthly SaaS,North,Chandigarh,2022-04-27,2.9,2.9,300000,Churned
CLI-0265,BrightPath Systems,Retail,Annual License,West,Ahmedabad,2021-10-29,3.5,3.4,150000,Active
CLI-0262,CloudNine Enterprises,Healthcare,Annual License,South,Bangalore,2020-11-30,4.1,4.3,200000,Active
CLI-0018,SafeHaven Group,Retail,Annual License,North,Chandigarh,2019-05-21,4.2,5.9,150000,Active
CLI-0100,TechVista Group,Media,Project-Based,South,Chennai,2023-06-29,4.7,1.8,50000,Active
CLI-0266,InfraMax Digital,Media,Monthly SaaS,East,Bhubaneswar,2020-02-16,4.3,5.1,300000,At Risk
CLI-0104,Pinnacle Solutions,Manufacturing,Project-Based,West,Mumbai,2019-08-16,3.7,5.6,1000000,Active
CLI-0006,DataWeave Solutions,Manufacturing,Annual License,East,Guwahati,2020-07-02,4.8,4.7,300000,Active
CLI-0225,Vertex Labs,Government,Managed Services,West,Pune,2019-04-22,3.6,5.9,200000,Churned
CLI-0254,CloudNine Corp,Logistics,Annual License,North,Delhi,2019-01-20,4.2,6.2,100000,Active
CLI-0090,CloudNine Corp,Retail,Multi-Year,North,Chandigarh,2020-06-08,4,4.8,75000,Active
CLI-0030,InfraMax Digital,Government,Monthly SaaS,West,Surat,2021-06-24,3.8,3.8,100000,Active
