Expense_ID,Department,Category,Vendor,Amount_INR,Budget_Allocated_INR,Variance_INR,Expense_Date,Approval_Status,Payment_Mode,Fiscal_Year,Remarks
EXP-00171,Operations,Travel,Slack,331249,422562.5,,2024-07-23,Approved,Bank Transfer,FY2024-2025,One-time
EXP-00575,HR,Hardware,Wipro,393018,315468.99,77549.01,2024-12-26,Rejected,Bank Transfer,FY2024-2025,Recurring
EXP-00248,Marketing,Training,Internal,340412,417538.8,-77126.8,2023-10-13,Approved,Vendor Credit,FY2023-2024,
EXP-00471,Support,Cloud Infrastructure,TCS,81882,87003.26,-5121.26,26/03/2024,Pending,Bank Transfer,FY2023-2024,Recurring
EXP-00385,HR,Software Licenses,Freshdesk,37534,31854.25,5679.75,2024-09-30,Approved,Bank Transfer,FY2024-2025,
EXP-00714,Marketing,Software Licenses,SAP,340834,280310.48,60523.52,2023-11-04,Approved,Petty Cash,FY2023-2024,Duplicate entry
EXP-00341,Operations,Maintenance,TCS,392114,347030.43,45083.57,2023-07-04,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00873,Operations,Maintenance,Infosys,386213,442191.91,-55978.91,2025-01-03,Approved,Vendor Credit,FY2024-2025,
EXP-00732,HR,Marketing Spend,Jira,27258,33695.97,-6437.97,2025-01-05,Approved,Bank Transfer,FY2024-2025,Urgent
EXP-00298,Engineering,Hardware,Jira,-248623,,16498.91,2024-06-17,Pending,Petty Cash,FY2024-2025,
EXP-00743,HR,Cloud Infrastructure,Oracle,234765,294259.0,-59494.0,2023-10-09,Approved,Bank Transfer,FY2023-2024,
EXP-00596,Support,Consulting Fees,Wipro,5961,7373.15,-1412.15,2024-03-03,Approved,Credit Card,FY2023-2024,Urgent
EXP-00093,Operations,Salaries,Microsoft Azure,18083,22154.68,-4071.68,2023-02-08,Approved,Bank Transfer,FY2022-2023,Under review
EXP-00208,Engineering,Salaries,Freshdesk,4846353,6043271.75,-1196918.75,2023-06-28,Pending,Vendor Credit,FY2023-2024,Under review
EXP-00132,Finance,Office Supplies,Freshdesk,223641,216619.3,7021.7,2024-04-15,Approved,Credit Card,FY2024-2025,
EXP-00888,Engineering,Travel,TCS,2943906,2847629.21,,2025-03-10,Approved,Petty Cash,FY2024-2025,
EXP-00642,Sales,Salaries,Wipro,31886,37984.4,-6098.4,13/06/2024,Approved,Credit Card,FY2024-2025,Recurring
EXP-00919,Finance,Software Licenses,TCS,110565,101797.79,8767.21,2023-09-23,Pending,Credit Card,FY2023-2024,
EXP-00121,Engineering,Maintenance,Freshdesk,288172,300418.29,-12246.29,2024-06-08,Rejected,Vendor Credit,FY2024-2025,
EXP-00606,Finance,Cloud Infrastructure,Slack,223300,227664.62,-4364.62,2025-03-12,Pending,Vendor Credit,FY2024-2025,One-time
EXP-00155,Sales,Travel,Jira,275337,306563.01,-31226.01,2025-01-23,Pending,Petty Cash,FY2024-2025,
EXP-00294,Sales,Consulting Fees,SAP,142075,149959.41,-7884.41,2023-08-27,Approved,Credit Card,FY2023-2024,Under review
EXP-00881,Support,Software Licenses,Microsoft Azure,7472,6179.9,1292.1,2023-02-28,Approved,Vendor Credit,FY2022-2023,
EXP-00626,Engineering,Marketing Spend,HubSpot,289678,371350.89,-81672.89,2023-01-22,Approved,Petty Cash,FY2022-2023,Urgent
EXP-00274,Marketing,Marketing Spend,AWS,54775,66998.53,-12223.53,2023-05-02,Approved,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00883,HR,Hardware,SAP,76843,97279.89,-20436.89,2023-05-17,Approved,Vendor Credit,FY2023-2024,
EXP-00364,Support,Utilities,Slack,357334,307538.07,49795.93,2023-12-31,Rejected,Vendor Credit,FY2023-2024,Recurring
EXP-00947,HR,Marketing Spend,Wipro,187885,161463.52,26421.48,2023-06-30,Pending,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00699,Engineering,Hardware,Slack,382790,448577.44,-65787.44,2024-01-12,Approved,Credit Card,FY2023-2024,Duplicate entry
EXP-00004,Finance,Travel,Internal,76592,,-21705.62,2024-01-24,Approved,Petty Cash,FY2023-2024,
EXP-00718,Support,Cloud Infrastructure,Zoom,172736,212951.33,-40215.33,2023-12-04,Approved,Credit Card,FY2023-2024,
EXP-00668,Marketing,Utilities,Salesforce,66115,70988.1,-4873.1,2024-08-05,Pending,Petty Cash,FY2024-2025,Under review
EXP-00026,Support,Consulting Fees,Infosys,151632,160166.52,-8534.52,2024-01-24,Approved,Bank Transfer,FY2023-2024,
EXP-00658,Engineering,Cloud Infrastructure,Microsoft Azure,412198,508251.82,-96053.82,2023-01-05,Approved,Petty Cash,FY2022-2023,
EXP-00493,Marketing,Travel,Zoom,52195,57318.27,-5123.27,2025-01-18,Approved,Bank Transfer,FY2024-2025,Under review
EXP-00224,Finance,Salaries,TCS,48152,48056.14,95.86,2025-01-17,Pending,Vendor Credit,FY2024-2025,Under review
EXP-00135,Support,Hardware,Adobe,16799,19123.79,-2324.79,2025-02-14,Approved,Vendor Credit,FY2024-2025,
EXP-00493,Marketing,Travel,Zoom,52195,57318.27,-5123.27,2025-01-18,Approved,Bank Transfer,FY2024-2025,Under review
EXP-00251,HR,Hardware,TCS,498331,590530.19,-92199.19,2024-03-10,Pending,Vendor Credit,FY2023-2024,One-time
EXP-00631,HR,Training,SAP,331933,269005.58,62927.42,2023-06-22,Rejected,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00593,,Consulting Fees,Salesforce,334513,429654.62,-95141.62,2023-03-31,Approved,Vendor Credit,FY2022-2023,
EXP-00995,Engineering,Utilities,TCS,267847,224402.4,43444.6,2025-02-22,Pending,Petty Cash,FY2024-2025,Recurring
EXP-00208,Engineering,Salaries,Freshdesk,4846353,6043271.75,-1196918.75,2023-06-28,Pending,Vendor Credit,FY2023-2024,Under review
EXP-00817,HR,Salaries,Microsoft Azure,60387,77599.47,-17212.47,2023-03-01,Approved,Vendor Credit,FY2022-2023,Urgent
EXP-00701,Engineering,,HubSpot,175225,180530.0,-5305.0,2024-08-05,Approved,Vendor Credit,FY2024-2025,One-time
EXP-00880,Sales,Salaries,Oracle,341861,313537.26,28323.74,2023-11-06,Pending,Credit Card,FY2023-2024,Recurring
EXP-00104,Finance,Travel,HubSpot,179272,163363.64,15908.36,2025-01-28,Approved,Vendor Credit,FY2024-2025,Under review
EXP-00488,Marketing,Utilities,Infosys,39407,45445.79,,2023-03-31,Pending,Petty Cash,FY2022-2023,
EXP-00935,Operations,Travel,AWS,89432,106809.32,-17377.32,2023-06-21,Approved,Petty Cash,FY2023-2024,
EXP-00692,Finance,,Google Cloud,263512,324627.93,-61115.93,2024-01-09,Rejected,Credit Card,FY2023-2024,
EXP-00306,Sales,Consulting Fees,Jira,199679,200742.29,-1063.29,2025-01-18,Approved,Petty Cash,FY2024-2025,
EXP-00027,Sales,Office Supplies,HubSpot,375444,,42263.75,2024-06-15,Rejected,Petty Cash,FY2024-2025,
EXP-00072,Operations,Training,Internal,225874,240659.78,-14785.78,2023-01-20,Approved,Bank Transfer,FY2022-2023,Under review
EXP-00797,Operations,Hardware,AWS,415441,402243.02,13197.98,2023-02-09,Approved,Petty Cash,FY2022-2023,Duplicate entry
EXP-00779,Engineering,Training,Zoom,169992,217401.98,-47409.98,2024-12-27,Approved,Bank Transfer,FY2024-2025,Duplicate entry
EXP-00336,HR,Training,SAP,276210,336215.59,-60005.59,2025-02-17,Approved,Credit Card,FY2024-2025,Urgent
EXP-00781,Support,Hardware,HubSpot,8467,6825.29,1641.71,2024-05-18,Approved,Vendor Credit,FY2024-2025,Urgent
EXP-00725,Engineering,Recruitment,Microsoft Azure,433961,489742.12,-55781.12,2023-04-18,Approved,Credit Card,FY2023-2024,Urgent
EXP-00417,,Training,Google Cloud,253473,209229.23,44243.77,2023-04-30,Approved,Petty Cash,FY2023-2024,
EXP-00021,Engineering,Maintenance,Zoom,283088,273645.91,9442.09,2023-11-15,Pending,Vendor Credit,FY2023-2024,
EXP-00363,Operations,Cloud Infrastructure,AWS,36809,31242.97,5566.03,2023-10-27,Rejected,Petty Cash,FY2023-2024,Duplicate entry
EXP-00764,Engineering,,Slack,176240,162052.35,14187.65,2024-11-09,Approved,Bank Transfer,FY2024-2025,One-time
EXP-00839,Operations,Training,Freshdesk,287836,288895.81,-1059.81,2024-04-04,Rejected,Petty Cash,FY2024-2025,
EXP-00824,Marketing,Training,TCS,62129,69505.89,-7376.89,2023-08-23,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00059,Engineering,Marketing Spend,Jira,39600,49734.57,-10134.57,2025-01-12,Pending,Petty Cash,FY2024-2025,Under review
EXP-00638,Marketing,Maintenance,Jira,233554,252983.66,-19429.66,2023-06-08,Approved,Bank Transfer,FY2023-2024,
EXP-00984,Operations,Marketing Spend,Oracle,184967,,35452.88,2023-07-12,Pending,Petty Cash,FY2023-2024,
EXP-00442,Engineering,Marketing Spend,Google Cloud,451511,378996.91,72514.09,2023-08-30,Pending,Vendor Credit,FY2023-2024,Recurring
EXP-00284,Marketing,,Wipro,90672,115291.34,-24619.34,2024-08-27,Approved,Credit Card,FY2024-2025,
EXP-00851,HR,Training,Adobe,117298,149508.38,-32210.38,2025-01-02,Rejected,Vendor Credit,FY2024-2025,One-time
EXP-00664,HR,Cloud Infrastructure,TCS,102465,119023.91,,2025-01-01,Pending,Petty Cash,FY2024-2025,
EXP-00897,Marketing,Marketing Spend,Internal,161058,169436.08,-8378.08,25/09/2024,Approved,Vendor Credit,FY2024-2025,
EXP-00566,Sales,Salaries,Oracle,310200,318474.48,-8274.48,2024-03-24,Approved,Bank Transfer,FY2023-2024,
EXP-00834,HR,Salaries,AWS,415834,414415.59,1418.41,2023-09-30,Pending,Credit Card,FY2023-2024,Urgent
EXP-00913,Operations,Training,Wipro,106700,135158.73,-28458.73,28/11/2023,Approved,Vendor Credit,FY2023-2024,Urgent
EXP-00223,Operations,Utilities,Microsoft Azure,372555,361375.0,11180.0,2024-04-07,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00511,Operations,Software Licenses,Jira,-295644,375294.28,-79650.28,01/07/2024,Approved,Vendor Credit,FY2024-2025,One-time
EXP-00129,Marketing,Hardware,Freshdesk,341728,431392.19,-89664.19,2024-06-13,Pending,Vendor Credit,FY2024-2025,
EXP-00433,,Hardware,Internal,346055,292280.0,53775.0,2023-02-26,Approved,Bank Transfer,FY2022-2023,Urgent
EXP-00748,Marketing,Salaries,SAP,370801,399115.32,-28314.32,2024-05-02,Approved,Credit Card,FY2024-2025,Recurring
EXP-00734,Sales,Training,Google Cloud,150199,192054.12,-41855.12,2024-01-14,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00100,Sales,Office Supplies,Wipro,291041,358620.07,-67579.07,2023-06-05,Approved,Credit Card,FY2023-2024,One-time
EXP-00419,HR,Recruitment,Google Cloud,211857,256056.27,-44199.27,2024-08-29,Approved,Vendor Credit,FY2024-2025,Duplicate entry
EXP-00563,Sales,Training,Microsoft Azure,251802,303026.15,-51224.15,2024-06-03,Approved,Credit Card,FY2024-2025,Recurring
EXP-00218,Marketing,Training,Zoom,76656,71437.11,5218.89,2024-02-26,Approved,Vendor Credit,FY2023-2024,
EXP-00489,Finance,Software Licenses,Oracle,362710,366215.27,-3505.27,2024-10-02,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00566,Sales,Salaries,Oracle,310200,318474.48,-8274.48,2024-03-24,Approved,Bank Transfer,FY2023-2024,
EXP-00796,Support,Cloud Infrastructure,TCS,10572,9878.34,693.66,2023-08-27,Approved,Bank Transfer,FY2023-2024,
EXP-00846,Engineering,Consulting Fees,Adobe,16215,15546.6,668.4,2024-06-16,Rejected,Vendor Credit,FY2024-2025,One-time
EXP-00966,Finance,Marketing Spend,Microsoft Azure,415913,384867.42,31045.58,2025-02-24,Approved,Credit Card,FY2024-2025,Duplicate entry
EXP-00352,HR,Software Licenses,Internal,459471,437328.44,22142.56,2023-06-28,Pending,Credit Card,FY2023-2024,Urgent
EXP-00508,HR,Recruitment,HubSpot,356518,384593.26,-28075.26,2023-10-11,Approved,Credit Card,FY2023-2024,Duplicate entry
EXP-00205,Support,Cloud Infrastructure,Infosys,29243,28194.98,1048.02,2024-03-28,Approved,Credit Card,FY2023-2024,Duplicate entry
EXP-00050,Engineering,Hardware,Slack,141275,149514.95,-8239.95,2023-07-24,Approved,Petty Cash,FY2023-2024,One-time
EXP-00458,Operations,Travel,Jira,419574,390433.1,29140.9,2023-03-04,Approved,Vendor Credit,FY2022-2023,
EXP-00539,HR,Marketing Spend,Freshdesk,163344,206602.59,-43258.59,2023-08-21,Pending,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00111,HR,Cloud Infrastructure,Salesforce,384800,444252.73,-59452.73,2023-11-01,Approved,Credit Card,FY2023-2024,
EXP-00710,,Salaries,AWS,363889,336570.16,27318.84,2024-08-02,Pending,Petty Cash,FY2024-2025,Recurring
EXP-00536,Operations,Salaries,Internal,268970,257710.55,11259.45,2024-03-18,Rejected,Petty Cash,FY2023-2024,
EXP-00576,Marketing,Consulting Fees,Oracle,346860,288543.01,58316.99,2024-05-09,Approved,Vendor Credit,FY2024-2025,
EXP-00065,Operations,Software Licenses,Slack,240676,225254.53,15421.47,2024-08-26,Approved,Vendor Credit,FY2024-2025,One-time
EXP-00630,,Software Licenses,AWS,229898,203605.91,26292.09,2024-11-22,Approved,Credit Card,FY2024-2025,
EXP-00505,Engineering,Consulting Fees,Microsoft Azure,132424,109111.86,23312.14,2023-04-12,Pending,Petty Cash,FY2023-2024,
EXP-00479,Finance,Recruitment,Zoom,100845,120316.66,-19471.66,2025-03-04,Approved,Bank Transfer,FY2024-2025,
EXP-00313,HR,Consulting Fees,Google Cloud,3599626,3224517.74,375108.26,2024-04-25,Approved,Bank Transfer,FY2024-2025,Urgent
EXP-00315,Marketing,Maintenance,AWS,78374,77099.36,1274.64,2023-09-09,Approved,Credit Card,FY2023-2024,
EXP-00943,Finance,Hardware,Internal,476567,513028.09,-36461.09,2023-05-02,Approved,Bank Transfer,FY2023-2024,
EXP-00444,Marketing,Travel,Oracle,139446,169737.73,-30291.73,2024-08-12,Approved,Petty Cash,FY2024-2025,One-time
EXP-00007,Engineering,Consulting Fees,Google Cloud,136563,162916.26,,2023-10-08,Approved,Vendor Credit,FY2023-2024,
EXP-00183,,Consulting Fees,Adobe,22382,18042.6,4339.4,2023-09-15,Pending,Petty Cash,FY2023-2024,
EXP-00185,Engineering,Travel,Freshdesk,155451,144377.19,11073.81,2024-04-12,Approved,Credit Card,FY2024-2025,
EXP-00603,Engineering,Software Licenses,Freshdesk,269249,308734.33,,2023-05-23,Approved,Bank Transfer,FY2023-2024,Urgent
EXP-00103,Sales,Travel,Internal,435004,504598.66,-69594.66,2023-02-23,Pending,Bank Transfer,FY2022-2023,Duplicate entry
EXP-00099,Operations,Maintenance,AWS,424596,339971.4,84624.6,2024-10-04,Pending,Vendor Credit,FY2024-2025,Recurring
EXP-00166,Operations,Marketing Spend,Microsoft Azure,458771,375638.71,83132.29,2023-03-26,Approved,Vendor Credit,FY2022-2023,Recurring
EXP-00844,Finance,Travel,Wipro,377822,320802.62,57019.38,07/02/2024,Approved,Vendor Credit,FY2023-2024,Recurring
EXP-00391,HR,Utilities,Adobe,26148,25412.61,735.39,2023-06-15,Approved,Petty Cash,FY2023-2024,Under review
EXP-00079,Support,Maintenance,Internal,64993,57540.42,7452.58,2024-09-29,Approved,Vendor Credit,FY2024-2025,
EXP-00443,Support,Training,TCS,482501,544564.69,-62063.69,2023-02-23,Pending,Vendor Credit,FY2022-2023,One-time
EXP-00076,Marketing,Travel,Freshdesk,493276,610985.74,-117709.74,2023-11-04,Approved,Vendor Credit,FY2023-2024,
EXP-00320,Engineering,Software Licenses,Wipro,86033,80709.67,5323.33,2023-01-01,Pending,Vendor Credit,FY2022-2023,
EXP-00080,Engineering,Software Licenses,Infosys,-279029,,-38873.03,2023-08-17,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00452,HR,Software Licenses,HubSpot,383752,410378.48,-26626.48,26/08/2024,Pending,Credit Card,FY2024-2025,
EXP-00541,Marketing,Consulting Fees,Google Cloud,59701,,-1952.11,2024-10-04,Approved,Petty Cash,FY2024-2025,Under review
EXP-00468,Engineering,Training,AWS,87470,98521.95,-11051.95,2024-05-28,Approved,Petty Cash,FY2024-2025,Under review
EXP-00456,Sales,Maintenance,Zoom,37014,35509.76,1504.24,2023-06-11,Pending,Petty Cash,FY2023-2024,
EXP-00383,Finance,Cloud Infrastructure,Wipro,307446,286117.08,21328.92,2023-10-11,Approved,Credit Card,FY2023-2024,
EXP-00882,Marketing,Software Licenses,Salesforce,-4033752,3329796.67,703955.33,26/04/2024,Approved,Petty Cash,FY2024-2025,
EXP-00427,Marketing,Hardware,Wipro,126773,141296.37,-14523.37,2024-03-01,Approved,Petty Cash,FY2023-2024,Under review
EXP-00192,Marketing,Software Licenses,AWS,404431,452206.81,,2025-01-23,Rejected,Credit Card,FY2024-2025,Recurring
EXP-00196,Marketing,Maintenance,Internal,52012,43876.37,8135.63,2024-05-05,Approved,Petty Cash,FY2024-2025,One-time
EXP-00537,Sales,Office Supplies,Oracle,-254726,252659.65,2066.35,2024-01-25,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00234,Operations,Training,Freshdesk,336844,367169.25,-30325.25,2025-02-19,Approved,Credit Card,FY2024-2025,
EXP-00067,Engineering,,TCS,474095,385102.35,88992.65,2023-10-27,Rejected,Vendor Credit,FY2023-2024,Recurring
EXP-00392,Operations,Travel,Zoom,251199,290685.15,-39486.15,2025-01-28,Pending,Credit Card,FY2024-2025,One-time
EXP-00238,Operations,Training,Google Cloud,428567,471952.98,-43385.98,2024-05-08,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00338,Sales,Training,Zoom,483664,529402.16,-45738.16,2024-06-23,Approved,Petty Cash,FY2024-2025,Recurring
EXP-00574,Support,Cloud Infrastructure,Adobe,391654,,65597.63,2024-04-27,Approved,Credit Card,FY2024-2025,One-time
EXP-00473,HR,Salaries,AWS,295989,314647.3,-18658.3,2023-07-28,Pending,Credit Card,FY2023-2024,Recurring
EXP-00689,,Travel,Wipro,305798,247167.65,58630.35,2023-12-07,Approved,Vendor Credit,FY2023-2024,Under review
EXP-00144,Engineering,Cloud Infrastructure,TCS,4265591,4106997.2,158593.8,2024-01-29,Approved,Petty Cash,FY2023-2024,
EXP-00376,Operations,Consulting Fees,Slack,30067,32152.35,-2085.35,2023-08-26,Approved,Petty Cash,FY2023-2024,Under review
EXP-00856,Engineering,Training,Jira,439322,512559.35,-73237.35,2025-01-27,Approved,Bank Transfer,FY2024-2025,
EXP-00423,HR,Office Supplies,Zoom,276241,260577.09,15663.91,2023-04-18,Approved,Bank Transfer,FY2023-2024,
EXP-00367,Support,Consulting Fees,Microsoft Azure,55208,70125.36,-14917.36,2024-07-13,Approved,Vendor Credit,FY2024-2025,
EXP-00685,Support,Utilities,Wipro,239291,294400.19,-55109.19,2023-06-16,Approved,Credit Card,FY2023-2024,Duplicate entry
EXP-00656,Marketing,Office Supplies,Oracle,156023,144831.13,11191.87,2024-02-07,Rejected,Bank Transfer,FY2023-2024,Recurring
EXP-00156,Engineering,Hardware,Internal,486643,494228.82,-7585.82,2023-08-13,Rejected,Credit Card,FY2023-2024,Recurring
EXP-00953,Marketing,Maintenance,Internal,194539,192336.4,2202.6,2023-08-13,Pending,Vendor Credit,FY2023-2024,Urgent
EXP-00780,HR,Utilities,Microsoft Azure,117521,147338.94,-29817.94,2024-05-03,Approved,Petty Cash,FY2024-2025,Duplicate entry
EXP-00307,Operations,Utilities,AWS,253850,223021.17,30828.83,2023-04-21,Approved,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00522,Marketing,Recruitment,HubSpot,221390,203658.51,17731.49,2024-05-20,Approved,Credit Card,FY2024-2025,Urgent
EXP-00115,Marketing,Office Supplies,Wipro,164975,167893.96,-2918.96,2025-02-05,Pending,Petty Cash,FY2024-2025,
EXP-00777,Marketing,Maintenance,TCS,486312,493117.33,-6805.33,2024-07-17,Approved,Vendor Credit,FY2024-2025,Under review
EXP-00029,Engineering,Hardware,Microsoft Azure,460670,595790.31,-135120.31,2023-05-22,Approved,Petty Cash,FY2023-2024,
EXP-00283,HR,Cloud Infrastructure,AWS,239146,238892.64,253.36,2025-01-30,Approved,Bank Transfer,FY2024-2025,
EXP-00619,Support,Recruitment,Google Cloud,403214,419622.61,,2024-04-16,Pending,Bank Transfer,FY2024-2025,
EXP-00705,Finance,Maintenance,Adobe,225603,214916.56,10686.44,2024-01-23,Pending,Bank Transfer,FY2023-2024,
EXP-00101,Finance,Marketing Spend,HubSpot,429569,352146.36,77422.64,2025-03-11,Rejected,Bank Transfer,FY2024-2025,
EXP-00343,,Consulting Fees,Internal,-391336,431860.77,,2023-03-25,Approved,Vendor Credit,FY2022-2023,
EXP-00330,Support,Office Supplies,SAP,242792,266048.5,,2024-04-19,Approved,Petty Cash,FY2024-2025,
EXP-00405,Engineering,Salaries,Freshdesk,208403,262175.05,-53772.05,2024-08-07,Approved,Credit Card,FY2024-2025,
EXP-00842,HR,Office Supplies,Infosys,489646,571822.07,-82176.07,2024-03-09,Approved,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00762,Finance,Office Supplies,Google Cloud,411870,511379.26,-99509.26,2024-07-17,Approved,Vendor Credit,FY2024-2025,Urgent
EXP-00291,HR,Travel,Salesforce,108453,93266.07,15186.93,2024-11-05,Approved,Vendor Credit,FY2024-2025,
EXP-00416,Finance,Travel,Internal,138343,112386.6,25956.4,2023-11-23,Pending,Vendor Credit,FY2023-2024,
EXP-00127,Marketing,Consulting Fees,Zoom,253357,237003.61,16353.39,2024-04-09,Approved,Petty Cash,FY2024-2025,Under review
EXP-00974,Finance,Utilities,Freshdesk,422348,373973.55,48374.45,2024-08-06,Pending,Bank Transfer,FY2024-2025,
EXP-00892,Engineering,Software Licenses,Salesforce,420845,401109.66,19735.34,2023-01-26,Approved,Petty Cash,FY2022-2023,
EXP-00775,Marketing,Maintenance,TCS,332522,273875.71,58646.29,2023-06-11,Approved,Bank Transfer,FY2023-2024,
EXP-00837,Engineering,Consulting Fees,Adobe,-268398,235037.82,33360.18,2024-05-01,Pending,Credit Card,FY2024-2025,
EXP-00684,Support,Software Licenses,TCS,166104,164704.53,1399.47,2024-04-08,Approved,Bank Transfer,FY2024-2025,Recurring
EXP-00368,Operations,Salaries,Wipro,12538,10350.47,,2023-07-29,Approved,Petty Cash,FY2023-2024,One-time
EXP-00623,,Salaries,Internal,223136,272052.57,-48916.57,2025-03-04,Approved,Credit Card,FY2024-2025,Urgent
EXP-00939,Marketing,Software Licenses,Slack,182620,193942.24,-11322.24,2024-10-09,Approved,Vendor Credit,FY2024-2025,
EXP-00979,Operations,Salaries,AWS,323325,281804.53,41520.47,2024-06-04,Approved,Vendor Credit,FY2024-2025,Duplicate entry
EXP-00784,HR,Marketing Spend,Freshdesk,327303,396053.98,-68750.98,2024-10-18,Rejected,Petty Cash,FY2024-2025,Recurring
EXP-00736,Support,Marketing Spend,Infosys,111860,100608.75,11251.25,2023-04-12,Approved,Bank Transfer,FY2023-2024,One-time
EXP-00056,Support,Salaries,Internal,358246,293348.11,64897.89,2024-04-24,Approved,Bank Transfer,FY2024-2025,
EXP-00210,HR,Training,Slack,12064,10549.18,1514.82,2023-06-13,Approved,Petty Cash,FY2023-2024,
EXP-00690,Finance,Maintenance,Internal,296061,300001.24,-3940.24,2023-07-08,Pending,Credit Card,FY2023-2024,One-time
EXP-00930,Operations,Cloud Infrastructure,HubSpot,30949,25412.68,,2023-04-27,Approved,Vendor Credit,FY2023-2024,
EXP-00006,Operations,Marketing Spend,Zoom,372466,447228.52,-74762.52,2024-02-06,Pending,Petty Cash,FY2023-2024,
EXP-00497,Engineering,Training,Salesforce,244642,282609.32,-37967.32,2024-11-06,Approved,Credit Card,FY2024-2025,Recurring
EXP-00107,Sales,Recruitment,Zoom,258459,255111.38,3347.62,2023-09-28,Approved,Petty Cash,FY2023-2024,Urgent
EXP-00262,Engineering,Cloud Infrastructure,Freshdesk,202077,207699.46,-5622.46,2024-04-05,Rejected,Credit Card,FY2024-2025,
EXP-00138,Operations,Marketing Spend,Wipro,209841,267667.65,-57826.65,2024-10-01,Approved,Credit Card,FY2024-2025,One-time
EXP-00853,Operations,Marketing Spend,Zoom,451509,530679.26,-79170.26,2023-10-25,Approved,Credit Card,FY2023-2024,
EXP-00331,Marketing,,Microsoft Azure,163925,157330.82,6594.18,2023-10-23,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00554,Finance,Salaries,Google Cloud,355503,400742.71,-45239.71,2023-11-06,Approved,Vendor Credit,FY2023-2024,Duplicate entry
EXP-00519,Sales,Office Supplies,Jira,317282,354047.57,-36765.57,02/02/2023,Approved,Bank Transfer,FY2022-2023,
EXP-00020,Finance,Salaries,Wipro,29791,32121.77,-2330.77,2023-03-12,Approved,Credit Card,FY2022-2023,
EXP-00288,Sales,Marketing Spend,Google Cloud,260298,302710.19,-42412.19,2023-04-02,Approved,Petty Cash,FY2023-2024,
EXP-00395,Sales,Consulting Fees,SAP,170062,201142.77,-31080.77,2025-03-05,Approved,Bank Transfer,FY2024-2025,Recurring
EXP-00282,Sales,Marketing Spend,HubSpot,493046,516759.34,-23713.34,08/12/2023,Approved,Vendor Credit,FY2023-2024,
EXP-00481,Support,Training,Adobe,272783,232960.38,39822.62,2023-09-26,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00105,,Training,Oracle,4688784,3938191.01,750592.99,2023-03-27,Rejected,Credit Card,FY2022-2023,
EXP-00499,Marketing,Marketing Spend,Jira,160016,189994.81,-29978.81,2024-02-26,Approved,Bank Transfer,FY2023-2024,Urgent
EXP-00194,Engineering,Consulting Fees,Adobe,-30156,30446.67,-290.67,2023-08-15,Approved,Petty Cash,FY2023-2024,
EXP-00289,Marketing,Hardware,SAP,498758,486607.94,12150.06,2024-10-20,Pending,Vendor Credit,FY2024-2025,
EXP-00242,Sales,Salaries,Wipro,390496,406666.97,-16170.97,2023-07-25,Rejected,Petty Cash,FY2023-2024,
EXP-00198,HR,Office Supplies,Microsoft Azure,258034,224063.19,33970.81,2023-11-12,Approved,Petty Cash,FY2023-2024,Urgent
EXP-00931,HR,Travel,Oracle,379186,388036.42,-8850.42,2023-01-09,Approved,Vendor Credit,FY2022-2023,
EXP-00243,HR,Utilities,Jira,474316,519064.02,-44748.02,2025-01-17,Rejected,Vendor Credit,FY2024-2025,
EXP-00669,Support,Recruitment,Microsoft Azure,-118413,108123.08,10289.92,13/04/2024,Approved,Vendor Credit,FY2024-2025,Under review
EXP-00895,HR,Cloud Infrastructure,AWS,495983,486156.54,9826.46,2023-09-25,Approved,Bank Transfer,FY2023-2024,Under review
EXP-00378,Support,Training,SAP,186645,,12334.99,2023-08-02,Pending,Credit Card,FY2023-2024,Urgent
EXP-00793,,Consulting Fees,Wipro,342928,445230.91,-102302.91,2023-04-16,Approved,Bank Transfer,FY2023-2024,Urgent
EXP-00772,Operations,Office Supplies,SAP,389265,359305.9,29959.1,2024-10-12,Approved,Bank Transfer,FY2024-2025,
EXP-00405,Engineering,Salaries,Freshdesk,208403,262175.05,-53772.05,2024-08-07,Approved,Credit Card,FY2024-2025,
EXP-00188,Operations,Salaries,TCS,197078,238559.88,-41481.88,2023-04-22,Approved,Vendor Credit,FY2023-2024,Recurring
EXP-00428,Marketing,Hardware,Jira,469132,453619.26,15512.74,2023-12-25,Approved,Petty Cash,FY2023-2024,Recurring
EXP-00060,Operations,Consulting Fees,AWS,3584033,3448909.77,135123.23,27/09/2023,Approved,Bank Transfer,FY2023-2024,Recurring
